DATE,DTWEXM
1990-02-12,92.2762
1990-02-13,92.4009
1990-02-14,92.4125
1990-02-15,92.5644
1990-02-16,92.3088
1990-02-19,.
1990-02-20,92.5102
1990-02-21,92.1825
1990-02-22,92.1595
1990-02-23,92.5421
1990-02-26,93.2172
1990-02-27,93.0419
1990-02-28,93.2150
1990-03-01,93.7835
1990-03-02,94.1408
1990-03-05,93.7824
1990-03-06,93.6213
1990-03-07,93.9927
1990-03-08,93.7136
1990-03-09,93.9973
1990-03-12,94.3499
1990-03-13,94.5154
1990-03-14,94.2717
1990-03-15,94.1868
1990-03-16,94.01
1990-03-19,94.1545
1990-03-20,94.3518
1990-03-21,94.6451
1990-03-22,94.7015
1990-03-23,94.5386
1990-03-26,94.9542
1990-03-27,95.0103
1990-03-28,95.1977
1990-03-29,94.5590
1990-03-30,94.4002
1990-04-02,94.9192
1990-04-03,94.7636
1990-04-04,94.6454
1990-04-05,94.5147
1990-04-06,94.3876
1990-04-09,94.2140
1990-04-10,94.3875
1990-04-11,94.0835
1990-04-12,93.9987
1990-04-13,94.1478
1990-04-16,94.4195
1990-04-17,94.5258
1990-04-18,94.1207
1990-04-19,93.7016
1990-04-20,94.2198
1990-04-23,94.2985
1990-04-24,94.3764
1990-04-25,94.1720
1990-04-26,94.1841
1990-04-27,94.1751
1990-04-30,94.2117
1990-05-01,94.2383
1990-05-02,94.1943
1990-05-03,94.1326
1990-05-04,93.8020
1990-05-07,93.3943
1990-05-08,93.4238
1990-05-09,92.8159
1990-05-10,92.8882
1990-05-11,92.3155
1990-05-14,92.4529
1990-05-15,92.3918
1990-05-16,92.2272
1990-05-17,92.3534
1990-05-18,92.5479
1990-05-21,92.9658
1990-05-22,92.9624
1990-05-23,92.7357
1990-05-24,92.9816
1990-05-25,92.7074
1990-05-28,.
1990-05-29,92.6374
1990-05-30,92.8198
1990-05-31,93.3980
1990-06-01,93.0241
1990-06-04,93.1874
1990-06-05,93.2443
1990-06-06,93.0594
1990-06-07,93.0390
1990-06-08,93.4742
1990-06-11,93.4487
1990-06-12,93.3488
1990-06-13,93.3745
1990-06-14,93.2740
1990-06-15,93.3133
1990-06-18,92.8695
1990-06-19,92.6718
1990-06-20,92.84
1990-06-21,93.0173
1990-06-22,93.0128
1990-06-25,93.1303
1990-06-26,92.8254
1990-06-27,92.4861
1990-06-28,92.3806
1990-06-29,92.0909
1990-07-02,91.5346
1990-07-03,91.3336
1990-07-04,.
1990-07-05,91.2353
1990-07-06,91.3285
1990-07-09,91.0357
1990-07-10,90.5319
1990-07-11,90.7512
1990-07-12,90.8587
1990-07-13,90.3771
1990-07-16,90.7071
1990-07-17,90.5077
1990-07-18,90.1894
1990-07-19,90.38
1990-07-20,90.5525
1990-07-23,90.1631
1990-07-24,89.9069
1990-07-25,89.9830
1990-07-26,90.3250
1990-07-27,89.9115
1990-07-30,89.5177
1990-07-31,88.6981
1990-08-01,89.0135
1990-08-02,89.4826
1990-08-03,89.4186
1990-08-06,88.9544
1990-08-07,89.0121
1990-08-08,89.3636
1990-08-09,89.1850
1990-08-10,89.2149
1990-08-13,88.8982
1990-08-14,88.5273
1990-08-15,87.9890
1990-08-16,88.2959
1990-08-17,87.7313
1990-08-20,87.7636
1990-08-21,87.5479
1990-08-22,87.3117
1990-08-23,87.0950
1990-08-24,87.2719
1990-08-27,86.8924
1990-08-28,86.8351
1990-08-29,86.8790
1990-08-30,87.4706
1990-08-31,87.9281
1990-09-03,.
1990-09-04,88.2506
1990-09-05,87.2486
1990-09-06,87.1063
1990-09-07,87.2679
1990-09-10,87.7481
1990-09-11,87.9228
1990-09-12,87.3853
1990-09-13,87.0457
1990-09-14,86.5658
1990-09-17,86.4270
1990-09-18,86.2324
1990-09-19,86.7845
1990-09-20,86.9222
1990-09-21,86.9467
1990-09-24,86.2028
1990-09-25,86.5677
1990-09-26,86.8287
1990-09-27,87.0274
1990-09-28,86.9195
1990-10-01,86.2694
1990-10-02,86.3434
1990-10-03,85.9304
1990-10-04,85.2409
1990-10-05,85.1291
1990-10-08,.
1990-10-09,84.2220
1990-10-10,84.2139
1990-10-11,84.3706
1990-10-12,83.7512
1990-10-15,84.0303
1990-10-16,83.7583
1990-10-17,83.4591
1990-10-18,83.6819
1990-10-19,83.4644
1990-10-22,83.9154
1990-10-23,84.1917
1990-10-24,84.0099
1990-10-25,83.9489
1990-10-26,84.1054
1990-10-29,84.1917
1990-10-30,84.4313
1990-10-31,84.5614
1990-11-01,84.4365
1990-11-02,84.0458
1990-11-05,83.1760
1990-11-06,83.2689
1990-11-07,83.3730
1990-11-08,83.9672
1990-11-09,83.9596
1990-11-12,.
1990-11-13,83.7755
1990-11-14,83.6468
1990-11-15,83.6609
1990-11-16,83.5907
1990-11-19,83.5325
1990-11-20,83.5134
1990-11-21,83.3606
1990-11-22,.
1990-11-23,83.3850
1990-11-26,83.7724
1990-11-27,83.4870
1990-11-28,83.9130
1990-11-29,84.6607
1990-11-30,84.9262
1990-12-03,85.5018
1990-12-04,85.1991
1990-12-05,85.3219
1990-12-06,84.6197
1990-12-07,84.0496
1990-12-10,84.1321
1990-12-11,84.3372
1990-12-12,84.2671
1990-12-13,84.3811
1990-12-14,84.6168
1990-12-17,84.7247
1990-12-18,84.6183
1990-12-19,84.7495
1990-12-20,85.3899
1990-12-21,86.1237
1990-12-24,86.5985
1990-12-25,.
1990-12-26,86.2555
1990-12-27,86.3705
1990-12-28,85.3271
1990-12-31,85.3782
1991-01-01,.
1991-01-02,84.8780
1991-01-03,84.5266
1991-01-04,85.1608
1991-01-07,86.1017
1991-01-08,85.9741
1991-01-09,85.2189
1991-01-10,85.6959
1991-01-11,85.6231
1991-01-14,85.8771
1991-01-15,86.0409
1991-01-16,86.2107
1991-01-17,84.9763
1991-01-18,84.7589
1991-01-21,.
1991-01-22,84.4125
1991-01-23,84.3305
1991-01-24,84.2650
1991-01-25,84.4672
1991-01-28,84.3478
1991-01-29,84.1044
1991-01-30,84.2591
1991-01-31,84.0369
1991-02-01,83.7490
1991-02-04,83.5889
1991-02-05,83.3080
1991-02-06,82.7364
1991-02-07,82.6887
1991-02-08,82.8272
1991-02-11,82.5253
1991-02-12,82.7332
1991-02-13,83.0199
1991-02-14,83.2847
1991-02-15,83.6371
1991-02-18,.
1991-02-19,84.2167
1991-02-20,84.3280
1991-02-21,84.0580
1991-02-22,84.5437
1991-02-25,85.1712
1991-02-26,85.0379
1991-02-27,85.0203
1991-02-28,85.2172
1991-03-01,85.8269
1991-03-04,86.0935
1991-03-05,85.9805
1991-03-06,86.4360
1991-03-07,86.4931
1991-03-08,86.9666
1991-03-11,87.5842
1991-03-12,87.0658
1991-03-13,87.1845
1991-03-14,87.1120
1991-03-15,87.8571
1991-03-18,88.7904
1991-03-19,89.3446
1991-03-20,89.3226
1991-03-21,88.7907
1991-03-22,88.8674
1991-03-25,89.7307
1991-03-26,90.0657
1991-03-27,90.5855
1991-03-28,90.9656
1991-03-29,90.6321
1991-04-01,90.2577
1991-04-02,89.6769
1991-04-03,89.2906
1991-04-04,88.8490
1991-04-05,89.3432
1991-04-08,89.5778
1991-04-09,88.6848
1991-04-10,89.1293
1991-04-11,88.8174
1991-04-12,89.1886
1991-04-15,88.6358
1991-04-16,88.5247
1991-04-17,89.0073
1991-04-18,89.4568
1991-04-19,90.9205
1991-04-22,91.8212
1991-04-23,90.9159
1991-04-24,91.2140
1991-04-25,91.0554
1991-04-26,91.2352
1991-04-29,91.4460
1991-04-30,90.0887
1991-05-01,90.1092
1991-05-02,90.5218
1991-05-03,91.1779
1991-05-06,90.9292
1991-05-07,90.4404
1991-05-08,90.7578
1991-05-09,91.1810
1991-05-10,90.7032
1991-05-13,90.5302
1991-05-14,90.0676
1991-05-15,89.8092
1991-05-16,89.8287
1991-05-17,90.8796
1991-05-20,90.6180
1991-05-21,90.1380
1991-05-22,90.4955
1991-05-23,90.3452
1991-05-24,90.3677
1991-05-27,.
1991-05-28,89.9241
1991-05-29,90.3044
1991-05-30,90.4919
1991-05-31,90.9992
1991-06-03,91.2308
1991-06-04,90.9879
1991-06-05,91.3011
1991-06-06,91.4793
1991-06-07,92.1087
1991-06-10,92.4058
1991-06-11,92.3195
1991-06-12,92.8816
1991-06-13,92.9277
1991-06-14,92.6310
1991-06-17,92.9409
1991-06-18,93.2607
1991-06-19,92.5911
1991-06-20,92.4397
1991-06-21,92.5248
1991-06-24,92.2105
1991-06-25,92.4926
1991-06-26,92.1084
1991-06-27,92.2824
1991-06-28,92.5918
1991-07-01,92.8816
1991-07-02,93.2657
1991-07-03,93.3272
1991-07-04,.
1991-07-05,92.9977
1991-07-08,92.7557
1991-07-09,92.9511
1991-07-10,92.8898
1991-07-11,93.3261
1991-07-12,91.9405
1991-07-15,91.8667
1991-07-16,92.1663
1991-07-17,91.9167
1991-07-18,91.6552
1991-07-19,91.1551
1991-07-22,91.5208
1991-07-23,91.3947
1991-07-24,90.9817
1991-07-25,91.7029
1991-07-26,91.1128
1991-07-29,91.4897
1991-07-30,91.4161
1991-07-31,91.2174
1991-08-01,91.5009
1991-08-02,90.8010
1991-08-05,90.4429
1991-08-06,90.0858
1991-08-07,90.0322
1991-08-08,90.4539
1991-08-09,90.6468
1991-08-12,90.5199
1991-08-13,90.6343
1991-08-14,90.7243
1991-08-15,90.6576
1991-08-16,91.4421
1991-08-19,92.6499
1991-08-20,92.2065
1991-08-21,91.0619
1991-08-22,90.4312
1991-08-23,91.1485
1991-08-26,91.0229
