President_Name,Start_Date,End_Date,Approval,Disapproval,Unsure/No_Data
Donald J. Trump,4/24/17,4/26/17,40,55,5
Donald J. Trump,4/23/17,4/25/17,39,56,5
Donald J. Trump,4/22/17,4/24/17,40,55,5
Donald J. Trump,4/21/17,4/23/17,40,54,6
Donald J. Trump,4/20/17,4/22/17,40,54,6
Donald J. Trump,4/19/17,4/21/17,42,52,6
Donald J. Trump,4/18/17,4/20/17,43,51,6
Donald J. Trump,4/17/17,4/19/17,43,50,7
Donald J. Trump,4/15/17,4/18/17,42,52,6
Donald J. Trump,4/14/17,4/17/17,41,52,7
Donald J. Trump,4/13/17,4/15/17,41,53,6
Donald J. Trump,4/12/17,4/14/17,39,55,6
Donald J. Trump,4/11/17,4/13/17,40,55,5
Donald J. Trump,4/10/17,4/12/17,40,54,6
Donald J. Trump,4/9/17,4/11/17,41,52,7
Donald J. Trump,4/8/17,4/10/17,40,54,6
Donald J. Trump,4/7/17,4/9/17,40,53,7
Donald J. Trump,4/6/17,4/8/17,40,54,6
Donald J. Trump,4/5/17,4/7/17,40,54,6
Donald J. Trump,4/4/17,4/6/17,40,54,6
Donald J. Trump,4/3/17,4/5/17,41,53,6
Donald J. Trump,4/2/17,4/4/17,42,52,6
Donald J. Trump,4/1/17,4/3/17,39,55,6
Donald J. Trump,3/31/17,4/2/17,38,57,5
Donald J. Trump,3/30/17,4/1/17,38,57,5
Donald J. Trump,3/29/17,3/31/17,40,56,4
Donald J. Trump,3/28/17,3/30/17,38,56,6
Donald J. Trump,3/27/17,3/29/17,38,57,5
Donald J. Trump,3/26/17,3/28/17,35,59,6
Donald J. Trump,3/25/17,3/27/17,36,56,8
Donald J. Trump,3/24/17,3/26/17,36,57,7
Donald J. Trump,3/23/17,3/25/17,40,54,6
Donald J. Trump,3/22/17,3/24/17,41,54,5
Donald J. Trump,3/21/17,3/23/17,41,54,5
Donald J. Trump,3/20/17,3/22/17,39,56,5
Donald J. Trump,3/19/17,3/21/17,40,55,5
Donald J. Trump,3/18/17,3/20/17,39,56,5
Donald J. Trump,3/17/17,3/19/17,39,55,6
Donald J. Trump,3/16/17,3/18/17,37,58,5
Donald J. Trump,3/15/17,3/17/17,40,55,5
Donald J. Trump,3/14/17,3/16/17,41,54,5
Donald J. Trump,3/13/17,3/15/17,42,53,5
Donald J. Trump,3/12/17,3/14/17,40,54,6
Donald J. Trump,3/11/17,3/13/17,39,55,6
Donald J. Trump,3/10/17,3/12/17,42,51,7
Donald J. Trump,3/9/17,3/11/17,45,49,6
Donald J. Trump,3/8/17,3/10/17,44,49,7
Donald J. Trump,3/7/17,3/9/17,42,52,6
Donald J. Trump,3/6/17,3/8/17,41,53,6
Donald J. Trump,3/5/17,3/7/17,42,53,5
Donald J. Trump,3/4/17,3/6/17,43,51,6
Donald J. Trump,3/3/17,3/5/17,44,50,6
Donald J. Trump,3/2/17,3/4/17,43,50,7
Donald J. Trump,3/1/17,3/3/17,43,51,6
Donald J. Trump,2/28/17,3/2/17,43,51,6
Donald J. Trump,2/27/17,3/1/17,43,51,6
Donald J. Trump,2/26/17,2/28/17,43,52,5
Donald J. Trump,2/25/17,2/27/17,42,54,4
Donald J. Trump,2/24/17,2/26/17,42,54,4
Donald J. Trump,2/23/17,2/25/17,41,54,5
Donald J. Trump,2/22/17,2/24/17,41,53,6
Donald J. Trump,2/21/17,2/23/17,43,52,5
Donald J. Trump,2/20/17,2/22/17,43,52,5
Donald J. Trump,2/19/17,2/21/17,42,52,6
Donald J. Trump,2/18/17,2/20/17,41,53,6
Donald J. Trump,2/17/17,2/19/17,42,53,5
Donald J. Trump,2/16/17,2/18/17,41,55,4
Donald J. Trump,2/15/17,2/17/17,40,55,5
Donald J. Trump,2/14/17,2/16/17,38,56,6
Donald J. Trump,2/13/17,2/15/17,40,54,6
Donald J. Trump,2/12/17,2/14/17,40,53,7
Donald J. Trump,2/11/17,2/13/17,40,54,6
Donald J. Trump,2/10/17,2/12/17,40,54,6
Donald J. Trump,2/9/17,2/11/17,40,55,5
Donald J. Trump,2/8/17,2/10/17,41,53,6
Donald J. Trump,2/7/17,2/9/17,42,52,6
Donald J. Trump,2/6/17,2/8/17,43,52,5
Donald J. Trump,2/5/17,2/7/17,43,52,5
Donald J. Trump,2/4/17,2/6/17,42,54,4
Donald J. Trump,2/3/17,2/5/17,42,52,6
Donald J. Trump,2/2/17,2/4/17,42,53,5
Donald J. Trump,2/1/17,2/3/17,44,50,6
Donald J. Trump,1/31/17,2/2/17,43,52,5
Donald J. Trump,1/30/17,2/1/17,43,52,5
Donald J. Trump,1/29/17,1/31/17,43,52,5
Donald J. Trump,1/28/17,1/30/17,43,51,6
Donald J. Trump,1/27/17,1/29/17,43,50,7
Donald J. Trump,1/26/17,1/28/17,42,51,7
Donald J. Trump,1/25/17,1/27/17,42,50,8
Donald J. Trump,1/24/17,1/26/17,45,48,7
Donald J. Trump,1/23/17,1/25/17,46,45,9
Donald J. Trump,1/22/17,1/24/17,46,45,9
Donald J. Trump,1/21/17,1/23/17,45,46,9
Donald J. Trump,1/20/17,1/22/17,45,45,10
Barack Obama,1/17/17,1/19/17,59,37,4
Barack Obama,1/15/17,1/18/17,58,38,4
Barack Obama,1/14/17,1/17/17,57,39,4
Barack Obama,1/13/17,1/15/17,57,38,5
Barack Obama,1/12/17,1/14/17,57,39,4
Barack Obama,1/11/17,1/13/17,58,37,5
Barack Obama,1/10/17,1/12/17,57,40,3
Barack Obama,1/9/17,1/11/17,57,40,3
Barack Obama,1/8/17,1/10/17,55,42,3
Barack Obama,1/7/17,1/9/17,56,40,0
Barack Obama,1/6/17,1/8/17,56,41,3
Barack Obama,1/5/17,1/7/17,56,40,4
Barack Obama,1/4/17,1/6/17,56,41,3
Barack Obama,1/3/17,1/5/17,56,42,2
Barack Obama,1/2/17,1/4/17,54,43,3
Barack Obama,12/30/16,1/3/17,53,43,4
Barack Obama,12/29/16,1/2/17,54,42,4
Barack Obama,12/28/16,12/30/16,55,40,5
Barack Obama,12/27/16,12/29/16,56,41,3
Barack Obama,12/26/16,12/28/16,55,40,5
Barack Obama,12/23/16,12/27/16,56,40,4
Barack Obama,12/22/16,12/26/16,56,40,4
Barack Obama,12/21/16,12/23/16,56,41,3
Barack Obama,12/20/16,12/22/16,56,40,4
Barack Obama,12/19/16,12/21/16,56,40,4
Barack Obama,12/18/16,12/20/16,57,39,4
Barack Obama,12/17/16,12/19/16,57,39,4
Barack Obama,12/16/16,12/18/16,57,38,5
Barack Obama,12/15/16,12/17/16,56,40,4
Barack Obama,12/14/16,12/16/16,56,40,4
Barack Obama,12/13/16,12/15/16,56,41,3
Barack Obama,12/12/16,12/14/16,56,41,3
Barack Obama,12/11/16,12/13/16,57,40,3
Barack Obama,12/10/16,12/12/16,56,41,3
Barack Obama,12/9/16,12/11/16,59,39,2
Barack Obama,12/8/16,12/10/16,58,40,2
Barack Obama,12/6/16,12/9/16,59,39,2
Barack Obama,12/5/16,12/8/16,56,41,3
Barack Obama,12/4/16,12/6/16,55,41,4
Barack Obama,12/3/16,12/5/16,54,42,4
Barack Obama,12/2/16,12/4/16,54,42,4
Barack Obama,12/1/16,12/3/16,53,44,3
Barack Obama,11/29/16,12/2/16,53,45,2
Barack Obama,11/28/16,12/1/16,54,43,3
Barack Obama,11/27/16,11/29/16,57,40,3
Barack Obama,11/26/16,11/28/16,57,39,4
Barack Obama,11/25/16,11/27/16,57,39,4
Barack Obama,11/23/16,11/26/16,56,40,4
Barack Obama,11/22/16,11/25/16,56,40,4
Barack Obama,11/21/16,11/23/16,55,42,3
Barack Obama,11/20/16,11/22/16,55,42,3
Barack Obama,11/19/16,11/21/16,56,42,2
Barack Obama,11/18/16,11/20/16,57,40,3
Barack Obama,11/17/16,11/19/16,56,41,3
Barack Obama,11/16/16,11/18/16,58,40,2
Barack Obama,11/15/16,11/17/16,56,42,2
Barack Obama,11/14/16,11/16/16,56,41,3
Barack Obama,11/13/16,11/15/16,56,40,4
Barack Obama,11/12/16,11/14/16,57,40,3
Barack Obama,11/11/16,11/13/16,57,40,3
Barack Obama,11/10/16,11/12/16,57,41,2
Barack Obama,11/9/16,11/11/16,57,40,3
Barack Obama,11/8/16,11/10/16,58,40,2
Barack Obama,11/7/16,11/9/16,56,42,2
Barack Obama,11/6/16,11/8/16,56,42,2
Barack Obama,11/5/16,11/7/16,56,42,8
Barack Obama,11/4/16,11/6/16,56,41,3
Barack Obama,11/3/16,11/5/16,53,44,3
Barack Obama,11/2/16,11/4/16,51,46,3
Barack Obama,10/31/16,11/3/16,49,48,3
Barack Obama,10/30/16,11/2/16,51,47,4
Barack Obama,10/29/16,10/31/16,53,45,2
Barack Obama,10/28/16,10/30/16,54,44,2
Barack Obama,10/27/16,10/29/16,55,43,2
Barack Obama,10/26/16,10/28/16,53,44,3
Barack Obama,10/25/16,10/27/16,54,43,3
Barack Obama,10/24/16,10/26/16,53,44,3
Barack Obama,10/23/16,10/25/16,52,44,4
Barack Obama,10/22/16,10/24/16,52,46,2
Barack Obama,10/21/16,10/23/16,54,43,3
Barack Obama,10/20/16,10/22/16,56,41,3
Barack Obama,10/19/16,10/21/16,57,40,3
Barack Obama,10/18/16,10/20/16,55,42,3
Barack Obama,10/17/16,10/19/16,55,42,3
Barack Obama,10/16/16,10/18/16,53,44,3
Barack Obama,10/15/16,10/17/16,54,43,3
Barack Obama,10/14/16,10/16/16,54,43,3
Barack Obama,10/13/16,10/15/16,55,41,4
Barack Obama,10/12/16,10/14/16,54,42,4
Barack Obama,10/11/16,10/13/16,53,43,4
Barack Obama,10/10/16,10/12/16,53,42,5
Barack Obama,10/9/16,10/11/16,54,42,4
Barack Obama,10/8/16,10/10/16,55,42,3
Barack Obama,10/7/16,10/9/16,53,44,3
Barack Obama,10/6/16,10/8/16,52,46,2
Barack Obama,10/4/16,10/7/16,51,46,3
Barack Obama,10/3/16,10/6/16,51,45,4
Barack Obama,10/2/16,10/4/16,54,43,3
Barack Obama,10/1/16,10/3/16,54,43,3
Barack Obama,9/30/16,10/2/16,54,43,3
Barack Obama,9/29/16,10/1/16,52,45,3
Barack Obama,9/28/16,9/30/16,53,44,3
Barack Obama,9/27/16,9/29/16,52,44,4
Barack Obama,9/26/16,9/28/16,51,45,4
Barack Obama,9/25/16,9/27/16,50,45,5
Barack Obama,9/24/16,9/26/16,51,44,5
Barack Obama,9/23/16,9/25/16,54,41,5
Barack Obama,9/22/16,9/24/16,54,41,5
Barack Obama,9/21/16,9/23/16,53,42,5
